"","original_title","id","Drama","Comedy","Thriller","Action","Romance","Adventure","Crime","Science Fiction","Horror","Family","Fantasy","Mystery","Animation","History","War","Music","Documentary","Western","Foreign","TV Movie"
"757","Analyze This",9535,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"758","The Corruptor",9455,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"759","Cruel Intentions",796,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"760","Lock, Stock and Two Smoking Barrels",100,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"761","The Deep End of the Ocean",30943,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"762","The Rage: Carrie 2",7341,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"763","Dead Ringers",9540,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"764","Baby Geniuses",22345,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"765","Forces of Nature",1641,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"766","The King and I",47288,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"767","The Mod Squad",16379,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"768","The Matrix",603,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"769","10 Things I Hate About You",4951,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"770","The Out-of-Towners",8970,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"771","Following",11660,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"772","Go",9430,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"773","Never Been Kissed",11355,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"774","双龙会",18764,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"775","Cookie's Fortune",9465,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"776","Life",6522,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"777","Abre los ojos",1902,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"778","Lost & Found",39964,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"779","eXistenZ",1946,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"780","Entrapment",1844,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"781","Idle Hands",6552,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"782","Night of the Comet",18462,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"783","Dick Tracy",8592,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"784","The Mummy",564,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"785","The Castle",13852,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"786","Edge of Seventeen",4927,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"787","Star Wars: Episode I - The Phantom Menace",1893,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"788","Superman II",8536,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"789","Superman III",9531,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"790","Superman IV: The Quest for Peace",11411,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"791","It Came from Hollywood",30168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"792","Notting Hill",509,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"793","The Thirteenth Floor",1090,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"794","Limbo",62676,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"795","Austin Powers: The Spy Who Shagged Me",817,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"796","The Red Violin",14283,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"797","Tarzan",37135,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"798","The General's Daughter",2275,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"799","An Ideal Husband",24137,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"800","Lola rennt",104,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"801","Big Daddy",9032,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"802","Le Dîner de cons",9421,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"803","Arachnophobia",6488,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"804","Wild Wild West",8487,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"805","American Pie",2105,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"806","Muppets from Space",10208,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"807","The Blair Witch Project",2667,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"808","Eyes Wide Shut",345,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"809","Lake Placid",9825,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"810","The Wood",16158,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"811","Ghostbusters",620,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"812","Ghostbusters II",2978,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"813","Drop Dead Gorgeous",10490,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"814","The Haunting",11618,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"815","Trick",1812,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"816","Deep Blue Sea",8914,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"817","Mystery Men",9824,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"818","Runaway Bride",4806,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"819","Vibes",21185,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"820","The Golden Child",10136,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"821","The Color Purple",873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"822","Native Son",108312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"823","The Mission",11416,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"824","Little Shop of Horrors",10776,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"825","Dick",16406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"826","The Iron Giant",10386,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
"827","The Sixth Sense",745,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"828","The Thomas Crown Affair",913,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"829","Brokedown Palace",17707,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"830","Detroit Rock City",9781,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"831","Never Talk to Strangers",48781,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"832","Airplane!",813,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"833","An American Werewolf in Paris",9406,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"834","National Lampoon's Vacation",11153,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"835","Big",2280,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"836","The Pelican Brief",9944,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"837","Teaching Mrs. Tingle",10342,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"838","Universal Soldier: The Return",10366,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"839","In Too Deep",22314,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"840","The 13th Warrior",1911,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"841","The Astronaut's Wife",2900,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"842","Chill Factor",2162,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"843","Outside Providence",14578,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"844","Stigmata",10307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"845","Stir of Echoes",11601,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"846","A Soldier's Story",26522,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"847","American Beauty",14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"848","Stop Making Sense",24128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"849","Blue Streak",11001,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"850","Fright Night",11797,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"851","Excalibur",11527,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"852","Thumbelina",28032,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"853","Double Jeopardy",10398,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"854","Guinevere",60994,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"855","Drive Me Crazy",14429,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"856","Mystery, Alaska",15198,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"857","Three Kings",6415,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"858","Happy, Texas",24066,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"859","The Dark Half",10349,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"860","Monkey Shines",29787,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"861","Psycho II",10576,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"862","Random Hearts",12618,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"863","Boys Don't Cry",226,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"864","The Limey",10388,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"865","Risky Business",9346,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"866","Total Recall",861,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"867","Ferris Bueller's Day Off",9377,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"868","The Year of Living Dangerously",11541,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"869","Reds",18254,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"870","Flashdance",535,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"871","The Blue Lagoon",5689,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"872","Hard Eight",8052,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873","Home Alone 2: Lost in New York",772,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"874","Someone to Watch Over Me",31650,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"875","Naturally Native",302579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"876","Fight Club",550,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"877","The Story of Us",12220,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"878","Time Bandits",36819,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"879","Crimes and Misdemeanors",11562,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"880","The Best Man",16162,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"881","RoboCop",5548,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"882","RoboCop 2",5549,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"883","Who Framed Roger Rabbit",856,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"884","For Your Eyes Only",699,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"885","Licence to Kill",709,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"886","House on Haunted Hill",11377,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"887","Music of the Heart",26149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"888","Being John Malkovich",492,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"889","Dreaming of Joseph Lees",108346,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"890","もののけ姫",128,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"891","The Bachelor",2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"892","The Bone Collector",9481,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"893","The Insider",9008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"894","Creepshow",16281,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"895","Creepshow 2",16288,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"896","Re-Animator",1694,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"897","Drugstore Cowboy",476,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"898","Falling Down",37094,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"899","Nighthawks",21610,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"900","Spaceballs",957,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"901","La Guerre du feu",62204,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"902","Trading Places",1621,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"903","Under the Rainbow",47941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"904","Anywhere But Here",21349,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"905","Dogma",1832,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"906","Joan of Arc",10047,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"907","劇場版ポケットモンスター ミュウツーの逆襲",10228,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"908","Mujeres al borde de un ataque de nervios",4203,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"909","The Verdict",24226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"910","Sleepy Hollow",2668,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"911","The World Is Not Enough",36643,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"912","Todo sobre mi madre",99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"913","Matewan",24276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"914","The Natural",11393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"915","Fatal Attraction",10998,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"916","Stanley & Iris",36094,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"917","Midnight Run",9013,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"918","Backdraft",2924,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"919","The Fisher King",177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"920","The River",38557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"921","End of Days",9946,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"922","Toy Story 2",863,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"923","Ride with the Devil",22267,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"924","Tumbleweeds",55123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"925","The End of the Affair",20024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926","The Bonfire of the Vanities",9586,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"927","The Two Jakes",32669,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"928","Deuce Bigalow: Male Gigolo",10402,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"929","The Green Mile",497,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"930","The Cider House Rules",1715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"931","Bicentennial Man",2277,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"932","Stuart Little",10137,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"933","Fantasia 2000",49948,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"934","Magnolia",334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"935","Onegin",30237,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"936","Simpatico",50116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"937","Any Given Sunday",9563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938","Man on the Moon",1850,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939","Galaxy Quest",926,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"940","The Talented Mr. Ripley",1213,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"941","Next Friday",10471,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942","The Hurricane",10400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943","Angela's Ashes",10397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944","Play It to the Bone",20761,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945","Supernova",10384,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"946","Theeviravaathi: The Terrorist",48233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"947","Dead Calm",10493,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"948","Fast Times at Ridgemont High",13342,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949","A Cry in the Dark",35119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950","Batman: Mask of the Phantasm",14919,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"951","Poison",47620,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"952","Isn't She Great",75531,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"953","Malcolm X",1883,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"954","Sister Act",2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"955","Sister Act 2: Back in the Habit",6279,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"956","The Hand that Rocks the Cradle",11087,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957","Alive",7305,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958","Scent of a Woman",9475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959","Wayne's World",8872,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"960","A League of Their Own",11287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"961","Patriot Games",9869,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"962","The Bodyguard",619,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"963","Death Becomes Her",9374,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"964","Far and Away",11259,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"965","Twin Peaks: Fire Walk with Me",1923,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"966","Buffy the Vampire Slayer",10206,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"967","El Mariachi",9367,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"968","Bad Lieutenant",12143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"969","Scream 3",4234,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"970","Single White Female",9605,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"971","The Boondock Saints",8374,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"972","Gun Shy",29076,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"973","The Beach",1907,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974","The Tigger Movie",15655,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"975","Trois",77908,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"976","Boiler Room",14181,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"977","Hanging Up",10385,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"978","Pitch Black",2787,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"979","The Whole Nine Yards",2069,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"980","Reindeer Games",2155,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"981","3 Strikes",47816,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"982","Drowning Mona",25166,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"983","The Next Best Thing",1831,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"984","Beyond the Mat",14271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"985","Birdy",11296,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"986","Mission to Mars",2067,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"987","The Ninth Gate",622,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"988","Hoosiers",5693,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"989","Bull Durham",287,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"990","JFK",820,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"991","Blind Date",918,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"992","Nadine",61178,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"993","Erin Brockovich",462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"994","Final Destination",9532,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"995","Thelma & Louise",1541,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"996","Do the Right Thing",925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997","Mo' Better Blues",41823,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998","Jungle Fever",1713,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"999","Death Wish 2",14373,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000","Death Wish 3",24873,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001","Death Wish 5: The Face of Death",34746,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1002","Cool as Ice",1496,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1003","Teenage Mutant Ninja Turtles",1498,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1004","Teenage Mutant Ninja Turtles II: The Secret of the Ooze",1497,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1005","Teenage Mutant Ninja Turtles III",1499,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"1006","Red Dawn",1880,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1007","Band of the Hand",33762,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1008","Bloodsport",11690,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1009","Good Morning, Vietnam",801,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1010","Romeo Must Die",2085,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1011","Whatever It Takes",16222,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
